Examiner_ID,Pair_ID,Mating,Latent_Value,Compare_Value,Inconclusive_Reason,Exclusion_Reason,Difficulty,conclusive,ex_id,q_id
A3055,N102438,Non-mates,VID,Exclusion,NA,Minutiae,C_Medium,1,82,23
A2079,N102438,Non-mates,VID,Exclusion,NA,Minutiae,B_Easy,1,59,23
A3091,N102438,Non-mates,VID,Exclusion,NA,Minutiae,C_Medium,1,84,23
A0151,N102438,Non-mates,VID,Exclusion,NA,Minutiae,C_Medium,1,7,23
A0194,N102438,Non-mates,VID,Exclusion,NA,Minutiae,C_Medium,1,10,23
A1260,N102438,Non-mates,VID,Exclusion,NA,Minutiae,B_Easy,1,39,23
A0284,N102438,Non-mates,VID,Exclusion,NA,Minutiae,D_Difficult,1,14,23
A1314,N102438,Non-mates,VID,Exclusion,NA,Minutiae,B_Easy,1,40,23
A2342,N102438,Non-mates,VID,Exclusion,NA,Minutiae,C_Medium,1,72,23
A0437,N102438,Non-mates,VID,Exclusion,NA,Minutiae,B_Easy,1,21,23
A4443,N102438,Non-mates,VID,Exclusion,NA,Minutiae,C_Medium,1,123,23
A4459,N102438,Non-mates,VID,Exclusion,NA,Minutiae,C_Medium,1,124,23
A6490,N102438,Non-mates,VID,Exclusion,NA,Minutiae,C_Medium,1,169,23
A2002,N102438,Non-mates,VID,Exclusion,NA,Minutiae,B_Easy,1,54,23
A2009,N102438,Non-mates,VID,Exclusion,NA,Minutiae,D_Difficult,1,55,23
A3021,N102438,Non-mates,VID,Inconclusive,Close,NA,D_Difficult,0,80,23
A4029,N102438,Non-mates,VID,Exclusion,NA,Minutiae,D_Difficult,1,101,23
A2036,N102438,Non-mates,VID,Exclusion,NA,Minutiae,B_Easy,1,57,23
A5041,N102438,Non-mates,VID,Exclusion,NA,Minutiae,C_Medium,1,127,23
A6051,N102438,Non-mates,VID,Exclusion,NA,Minutiae,B_Easy,1,152,23
A2063,N102438,Non-mates,VID,Exclusion,NA,Minutiae,B_Easy,1,58,23
A1071,N102438,Non-mates,VID,Exclusion,NA,Minutiae,A_Obvious,1,28,23
A3073,N102438,Non-mates,VID,Exclusion,NA,Minutiae,C_Medium,1,83,23
A2090,N102438,Non-mates,VID,Exclusion,NA,Minutiae,A_Obvious,1,61,23
A4099,N102438,Non-mates,VID,Exclusion,NA,Minutiae,C_Medium,1,104,23
A1107,N102438,Non-mates,VID,Inconclusive,Overlap,NA,E_VeryDifficult,0,30,23
A5131,N102438,Non-mates,VID,Exclusion,NA,Minutiae,C_Medium,1,133,23
A4137,N102438,Non-mates,VID,Exclusion,NA,Minutiae,C_Medium,1,107,23
A6141,N102438,Non-mates,VID,Exclusion,NA,Minutiae,B_Easy,1,154,23
A3145,N102438,Non-mates,VID,Exclusion,NA,Minutiae,B_Easy,1,88,23
A5147,N102438,Non-mates,VEO,Inconclusive,Insufficient,NA,C_Medium,0,134,23
A6166,N102438,Non-mates,VID,Exclusion,NA,Minutiae,A_Obvious,1,156,23
A1177,N102438,Non-mates,VID,Exclusion,NA,Minutiae,C_Medium,1,35,23
A2178,N102438,Non-mates,VID,Exclusion,NA,Minutiae,B_Easy,1,65,23
A5221,N102438,Non-mates,VID,Exclusion,NA,Minutiae,C_Medium,1,138,23
A4227,N102438,Non-mates,VID,Exclusion,NA,Pattern,B_Easy,1,112,23
A2243,N102438,Non-mates,VID,Exclusion,NA,Minutiae,B_Easy,1,68,23
A2268,N102438,Non-mates,VID,Exclusion,NA,Minutiae,B_Easy,1,70,23
A6328,N102438,Non-mates,VID,Exclusion,NA,Minutiae,C_Medium,1,161,23
A1339,N102438,Non-mates,VID,Exclusion,NA,Minutiae,B_Easy,1,43,23
A6355,N102438,Non-mates,VID,Exclusion,NA,Minutiae,C_Medium,1,162,23
A0356,N102438,Non-mates,VID,Exclusion,NA,Minutiae,C_Medium,1,16,23
